Duty Period #,Flights
210,"['NA1733', 'NA1078', 'NA1911', 'NA1365', 'NA2659']"
211,"['NA1733', 'NA1227', 'NA1911', 'NA1344', 'NA1940']"
212,"['NA1139', 'NA2771', 'NA3566', 'NA1911', 'NA1344', 'NA2532']"
213,"['NA2033', 'NA1150', 'NA1705']"
214,"['NA2967', 'NA2089', 'NA1344', 'NA1855']"
215,"['NA2423', 'NA2937', 'NA2863']"
216,"['NA2452', 'NA2937', 'NA2361']"
217,"['NA3528', 'NA1877', 'NA1014', 'NA1911', 'NA1344', 'NA2061']"
218,"['NA2967', 'NA2033', 'NA1398', 'NA1705', 'NA1365', 'NA2595']"
219,"['NA1139', 'NA2239', 'NA1516']"
220,"['NA2967', 'NA1825', 'NA1150', 'NA2089', 'NA1365']"
221,"['NA1078', 'NA2328', 'NA3048', 'NA2730']"
222,"['NA2967', 'NA2033', 'NA1440', 'NA1911']"
223,"['NA3021', 'NA2033', 'NA1014', 'NA2328', 'NA3172', 'NA3256']"
224,"['NA3528', 'NA2033', 'NA1440', 'NA2089', 'NA1193']"
225,"['NA1485', 'NA1825', 'NA1303', 'NA2532']"
226,"['NA1485', 'NA1825', 'NA1035', 'NA2061']"
227,"['NA3021', 'NA2004', 'NA1344', 'NA1940']"
228,"['NA1733', 'NA1100', 'NA2263', 'NA1572', 'NA1754']"
229,"['NA2967', 'NA2176', 'NA1452', 'NA2089', 'NA1365', 'NA2659']"
230,"['NA1976', 'NA1440', 'NA1911', 'NA1344', 'NA2061']"
231,"['NA3671', 'NA2263', 'NA1604', 'NA2328', 'NA3048', 'NA2061']"
232,"['NA1285', 'NA2328', 'NA3048', 'NA1855']"
233,"['NA3596', 'NA2033', 'NA1227', 'NA2089', 'NA1365', 'NA2659']"
234,"['NA3528', 'NA2816', 'NA3566', 'NA2595']"
235,"['NA1139', 'NA2452', 'NA2937', 'NA1911', 'NA1344', 'NA2836']"
236,"['NA1976', 'NA1248', 'NA2143', 'NA1572', 'NA2863']"
237,"['NA1877', 'NA1398', 'NA1754']"
238,"['NA2967', 'NA2004', 'NA1303', 'NA1797']"
239,"['NA1365', 'NA2659']"
240,"['NA3528', 'NA1825', 'NA1150', 'NA2089', 'NA1193', 'NA2595']"
241,"['NA2993', 'NA2816', 'NA3566', 'NA1705', 'NA1365']"
242,"['NA1248', 'NA2423', 'NA2937', 'NA1911', 'NA1365', 'NA2595']"
243,"['NA1139', 'NA2771', 'NA3566', 'NA1705']"
244,"['NA1139', 'NA1825', 'NA1398', 'NA2836']"
245,"['NA2967', 'NA2263', 'NA1638', 'NA1705']"
246,"['NA3376', 'NA3081', 'NA3316']"
247,"['NA3021', 'NA2033', 'NA1035', 'NA1911', 'NA1344', 'NA2595']"
248,"['NA1139', 'NA2218', 'NA1572', 'NA2061']"
249,"['NA1825', 'NA1150', 'NA1911', 'NA1344', 'NA2659']"
250,"['NA3021', 'NA2218', 'NA1572', 'NA2659']"
251,"['NA1139', 'NA1674', 'NA1193', 'NA2061']"
252,"['NA2033', 'NA1227', 'NA2328', 'NA3172', 'NA3256']"
253,"['NA3528', 'NA1877', 'NA1303', 'NA1797']"
254,"['NA3671', 'NA1877', 'NA1227', 'NA2089', 'NA1193']"
255,"['NA1733', 'NA1100', 'NA2423', 'NA3172', 'NA3316']"
256,"['NA1485', 'NA1877', 'NA1014', 'NA1797']"
257,"['NA3671', 'NA2033', 'NA1014', 'NA2328', 'NA3048', 'NA2751']"
258,"['NA1139', 'NA2033', 'NA1035', 'NA2863']"
259,"['NA1452', 'NA2361']"
260,"['NA3671', 'NA1825', 'NA1227', 'NA2089', 'NA1365', 'NA2595']"
261,"['NA1139', 'NA1825', 'NA1014', 'NA1855']"
262,"['NA2993', 'NA1825', 'NA1150', 'NA1911', 'NA1193']"
263,"['NA1139', 'NA2906', 'NA3734', 'NA1705', 'NA1365']"
264,"['NA3021', 'NA2033', 'NA1227', 'NA1911', 'NA1193', 'NA2659']"
265,"['NA1139', 'NA2771', 'NA3566', 'NA1754']"
266,"['NA1485', 'NA1877', 'NA1193']"
267,"['NA1733', 'NA1078', 'NA2328', 'NA3172', 'NA3256']"
268,"['NA3671', 'NA2263', 'NA1638', 'NA2659']"
269,"['NA1976', 'NA1285', 'NA1674', 'NA1344', 'NA2659']"
270,"['NA1976', 'NA1100', 'NA1911', 'NA1365', 'NA2659']"
271,"['NA3528', 'NA2561', 'NA3296']"
272,"['NA1976', 'NA1100', 'NA2004', 'NA1303', 'NA2863']"
273,"['NA3671', 'NA2771', 'NA3566', 'NA1911', 'NA1193']"
274,"['NA3528', 'NA1825', 'NA1193', 'NA2659']"
275,"['NA3528', 'NA2906', 'NA3734', 'NA2089', 'NA1344', 'NA1855']"
276,"['NA1485', 'NA2033', 'NA1440', 'NA2089', 'NA1344', 'NA2659']"
277,"['NA1440', 'NA1911', 'NA1344', 'NA2532']"
278,"['NA2993', 'NA2033', 'NA1150', 'NA1705', 'NA1365']"
279,"['NA3671', 'NA2033', 'NA1150', 'NA1911', 'NA1365']"
280,"['NA2033', 'NA1227', 'NA2089', 'NA1365', 'NA2595']"
281,"['NA2967', 'NA1825', 'NA1365']"
282,"['NA3528', 'NA2033', 'NA1440', 'NA2089', 'NA1344', 'NA1940']"
283,"['NA2967', 'NA1911', 'NA1365']"
284,"['NA3596', 'NA1877', 'NA1440', 'NA2089', 'NA1344', 'NA2532']"
285,"['NA3528', 'NA1825', 'NA1150']"
286,"['NA3528', 'NA2452', 'NA2937', 'NA1911', 'NA1193', 'NA2659']"
287,"['NA1485', 'NA2561', 'NA3296', 'NA1754']"
288,"['NA2993', 'NA1877', 'NA1227', 'NA1754']"
289,"['NA1248', 'NA2128', 'NA1572', 'NA2532']"
290,"['NA3528', 'NA2906', 'NA3734', 'NA2089', 'NA1365', 'NA2659']"
291,"['NA2967', 'NA2423', 'NA3117']"
292,"['NA1139', 'NA1825', 'NA1227', 'NA1911', 'NA1344', 'NA1855']"
293,"['NA2967', 'NA1877', 'NA1227', 'NA2328', 'NA3048', 'NA2659']"
294,"['NA3528', 'NA1877', 'NA1440', 'NA2328', 'NA3172', 'NA3316']"
295,"['NA3671', 'NA2263', 'NA1604', 'NA1940']"
296,"['NA1485', 'NA2771', 'NA3611', 'NA2751']"
297,"['NA2967', 'NA1674', 'NA1398', 'NA1754']"
298,"['NA3671', 'NA2143', 'NA1572', 'NA2532']"
299,"['NA1485', 'NA2263', 'NA1638', 'NA1911', 'NA1193', 'NA2659']"
300,"['NA2967', 'NA2771', 'NA3566', 'NA1705', 'NA1365']"
301,"['NA3021', 'NA2771', 'NA3566', 'NA2595']"
302,"['NA3596', 'NA2263', 'NA1540', 'NA1855']"
303,"['NA1604', 'NA1911', 'NA1344', 'NA2836']"
304,"['NA1976', 'NA1285', 'NA2218', 'NA1572', 'NA2239']"
305,"['NA2993', 'NA1877', 'NA1440', 'NA2328']"
306,"['NA3021', 'NA1877', 'NA1227', 'NA2089', 'NA1344', 'NA2061']"
307,"['NA1485', 'NA2089']"
308,"['NA3528', 'NA1825', 'NA1150', 'NA2089', 'NA1365']"
309,"['NA1485', 'NA2771', 'NA3566', 'NA1705', 'NA1365', 'NA2659']"
310,"['NA3230', 'NA1674', 'NA1398', 'NA2532']"
311,"['NA3528', 'NA2381', 'NA3137']"
312,"['NA1976', 'NA1285', 'NA2004', 'NA1193']"
313,"['NA3021', 'NA1825', 'NA1035', 'NA2532']"
314,"['NA2967', 'NA1825', 'NA1014', 'NA2328', 'NA3048', 'NA2751']"
315,"['NA1976', 'NA1248', 'NA2328', 'NA3172']"
316,"['NA3528', 'NA2128', 'NA1572', 'NA2061']"
317,"['NA3021', 'NA2218', 'NA1572', 'NA1754']"
318,"['NA2993', 'NA1674', 'NA1193']"
319,"['NA1227', 'NA2328', 'NA3048', 'NA2659']"
320,"['NA3734', 'NA1705']"
321,"['NA3230', 'NA2218', 'NA1572', 'NA2836']"
322,"['NA2176', 'NA1452', 'NA2004', 'NA1344', 'NA2061']"
323,"['NA2967', 'NA1877', 'NA1193', 'NA2595']"
324,"['NA3528', 'NA1825', 'NA1035', 'NA2751']"
325,"['NA2771', 'NA3652', 'NA2061']"
326,"['NA2967', 'NA1825', 'NA1035', 'NA1911', 'NA1193', 'NA2061']"
327,"['NA1285', 'NA2004', 'NA1365']"
328,"['NA3528', 'NA2033', 'NA1035', 'NA1797']"
329,"['NA2937', 'NA2239', 'NA1516']"
330,"['NA1485', 'NA2033', 'NA1440', 'NA2089', 'NA1344', 'NA2061']"
331,"['NA1733', 'NA1285', 'NA2089', 'NA1365', 'NA2659']"
332,"['NA2993', 'NA1877', 'NA1227', 'NA2328', 'NA3048', 'NA2836']"
333,"['NA3528', 'NA1877', 'NA1440', 'NA2089', 'NA1344', 'NA2595']"
334,"['NA1014', 'NA1797']"
335,"['NA1733', 'NA1150', 'NA1705', 'NA1365', 'NA2595']"
336,"['NA1139', 'NA1877', 'NA1014', 'NA2089', 'NA1344', 'NA2061']"
337,"['NA3671', 'NA1825', 'NA1035', 'NA2595']"
338,"['NA1485', 'NA1877', 'NA1227', 'NA2061']"
339,"['NA1877', 'NA1398', 'NA2239']"
340,"['NA3021', 'NA1877', 'NA1440', 'NA2089', 'NA1193', 'NA2659']"
341,"['NA3528', 'NA1825', 'NA1014', 'NA2730']"
342,"['NA2967', 'NA2033', 'NA1150', 'NA2089', 'NA1344', 'NA1940']"
343,"['NA2176', 'NA1540', 'NA2239']"
344,"['NA1976', 'NA1014', 'NA2302', 'NA1516']"
345,"['NA1976', 'NA1078', 'NA2128', 'NA1516']"
346,"['NA3528', 'NA2033', 'NA1035', 'NA1911', 'NA1365', 'NA2659']"
347,"['NA1100', 'NA2004', 'NA1398', 'NA2836']"
348,"['NA1139', 'NA2033', 'NA1398', 'NA1705', 'NA1365', 'NA2595']"
349,"['NA1485', 'NA2381', 'NA2937']"
350,"['NA2967', 'NA2176', 'NA1452', 'NA2143', 'NA1572', 'NA1855']"
351,"['NA1733', 'NA1285', 'NA1911', 'NA1193', 'NA2061']"
352,"['NA1485', 'NA1877', 'NA1035', 'NA2361', 'NA3117']"
353,"['NA1100', 'NA2328', 'NA3048', 'NA2836']"
354,"['NA1733', 'NA1248', 'NA2143', 'NA1572']"
355,"['NA1100', 'NA2263', 'NA1604', 'NA1855']"
356,"['NA3528', 'NA2381', 'NA3048', 'NA2836']"
357,"['NA1733', 'NA1227', 'NA2659']"
358,"['NA2967', 'NA1825', 'NA1035', 'NA2659']"
359,"['NA3596', 'NA1825', 'NA1303', 'NA1940']"
360,"['NA3528', 'NA1825', 'NA1014', 'NA1911']"
361,"['NA1976', 'NA1100', 'NA2263', 'NA1604']"
362,"['NA2993', 'NA2771', 'NA3566', 'NA1911', 'NA1344']"
363,"['NA1485', 'NA1825', 'NA1227', 'NA2089', 'NA1365', 'NA2659']"
364,"['NA2967', 'NA2176', 'NA1638', 'NA2239', 'NA1516']"
365,"['NA1303', 'NA2532']"
366,"['NA3596', 'NA2423', 'NA2937', 'NA1911', 'NA1344', 'NA2836']"
367,"['NA3671', 'NA1825', 'NA1014', 'NA2836']"
368,"['NA2033', 'NA1440', 'NA1911']"
369,"['NA1485', 'NA2033', 'NA1227', 'NA2089', 'NA1193']"
370,"['NA1976', 'NA1078', 'NA2128', 'NA1572', 'NA2659']"
371,"['NA1139', 'NA2004', 'NA1193', 'NA2061']"
372,"['NA3671', 'NA2381', 'NA2937', 'NA2659']"
373,"['NA1976', 'NA1100', 'NA2218', 'NA1572', 'NA2863']"
374,"['NA2452', 'NA2937', 'NA1911', 'NA1344', 'NA2836']"
375,"['NA1139', 'NA1825', 'NA1014', 'NA2089', 'NA1344', 'NA1940']"
376,"['NA1485', 'NA1825', 'NA1227', 'NA2361']"
377,"['NA1139', 'NA2771', 'NA3566', 'NA1911', 'NA1365']"
378,"['NA3021', 'NA1825', 'NA1227', 'NA2328', 'NA3172', 'NA3256']"
379,"['NA2967', 'NA1877', 'NA1227', 'NA1911', 'NA1365']"
380,"['NA3528', 'NA1877', 'NA1193', 'NA2061']"
381,"['NA2967', 'NA2906', 'NA3734', 'NA2089', 'NA1344', 'NA1855']"
382,"['NA2967', 'NA1825', 'NA1150', 'NA2089', 'NA1344', 'NA2659']"
383,"['NA3021', 'NA1825', 'NA1398', 'NA1705']"
384,"['NA1139', 'NA2381', 'NA3048', 'NA2836']"
385,"['NA3596', 'NA2033', 'NA1014', 'NA2061']"
386,"['NA2967', 'NA2033', 'NA1227', 'NA2328', 'NA3048', 'NA2595']"
387,"['NA1733', 'NA1150']"
388,"['NA3021', 'NA1877', 'NA1014', 'NA2863']"
389,"['NA1733', 'NA1248', 'NA2218', 'NA1572', 'NA2730']"
390,"['NA3021', 'NA2381', 'NA3137', 'NA3296', 'NA2532']"
391,"['NA3596', 'NA1825', 'NA1227', 'NA2515']"
392,"['NA1733', 'NA1078', 'NA2836']"
393,"['NA2993', 'NA1877', 'NA1035', 'NA1911', 'NA1193', 'NA2659']"
394,"['NA3021', 'NA2263', 'NA1638', 'NA2751']"
395,"['NA2967', 'NA2239', 'NA1516']"
396,"['NA1100', 'NA2263', 'NA1540']"
397,"['NA2993', 'NA2033', 'NA1014', 'NA2089', 'NA1193', 'NA2061']"
398,"['NA3021', 'NA2452', 'NA3081', 'NA3316']"
399,"['NA1976', 'NA1248', 'NA2089', 'NA1193', 'NA2595']"
400,"['NA3021', 'NA1825', 'NA1150', 'NA1705', 'NA1365', 'NA2595']"
401,"['NA1139', 'NA2263', 'NA1604', 'NA2328']"
402,"['NA1139', 'NA1674', 'NA1303', 'NA2239', 'NA1516']"
403,"['NA1035', 'NA1705']"
404,"['NA3671', 'NA2452', 'NA2937', 'NA2863']"
405,"['NA1733', 'NA1078', 'NA1911', 'NA1344', 'NA2061']"
406,"['NA1485', 'NA2033', 'NA1227', 'NA2061']"
407,"['NA3528', 'NA2423', 'NA2937', 'NA2836']"
408,"['NA1078', 'NA2004', 'NA1344', 'NA1855']"
409,"['NA3671', 'NA2423', 'NA3081', 'NA3256']"
410,"['NA3021', 'NA2771', 'NA3611', 'NA2532']"
411,"['NA1139', 'NA1877', 'NA1150', 'NA1911', 'NA1344', 'NA2532']"
412,"['NA3230', 'NA2004', 'NA1398', 'NA2659']"
413,"['NA1877', 'NA1014', 'NA1911', 'NA1344', 'NA2836']"
414,"['NA1485', 'NA2033', 'NA1227', 'NA2328', 'NA3048', 'NA2659']"
415,"['NA2993', 'NA1877', 'NA1440', 'NA2328', 'NA3048', 'NA2061']"
416,"['NA3671', 'NA1825', 'NA1014', 'NA2328']"
417,"['NA3671', 'NA1825', 'NA1303', 'NA2730']"
418,"['NA1733', 'NA1440', 'NA2089', 'NA1193', 'NA2061']"
419,"['NA2176', 'NA1604', 'NA2863']"
420,"['NA1485', 'NA2033', 'NA1227', 'NA2328', 'NA3048', 'NA2532']"
421,"['NA2967', 'NA2033', 'NA1150', 'NA1705']"
422,"['NA2967', 'NA1877', 'NA1150', 'NA2089', 'NA1365', 'NA2659']"
423,"['NA2967', 'NA2143', 'NA1572', 'NA2863']"
424,"['NA2993', 'NA2452', 'NA2937', 'NA2302']"
425,"['NA3671', 'NA2033', 'NA1440', 'NA1797']"
426,"['NA2993', 'NA2423', 'NA2937', 'NA2730']"
427,"['NA3021', 'NA2381', 'NA2937', 'NA2061']"
428,"['NA2993', 'NA1825', 'NA1303', 'NA2061']"
429,"['NA2993', 'NA2423', 'NA2937', 'NA1911', 'NA1193']"
430,"['NA1139', 'NA2328', 'NA3048', 'NA2751']"
431,"['NA1452', 'NA2143', 'NA1572', 'NA1797']"
432,"['NA2993', 'NA2033', 'NA1440', 'NA2061']"
433,"['NA2993', 'NA2033', 'NA1227', 'NA2328', 'NA3048', 'NA2659']"
434,"['NA3596', 'NA1825', 'NA1014', 'NA2089', 'NA1344', 'NA2659']"
435,"['NA1485', 'NA2452', 'NA2937', 'NA1911', 'NA1344']"
436,"['NA2967', 'NA2263', 'NA1604', 'NA2089', 'NA1344', 'NA2836']"
437,"['NA1139', 'NA2263', 'NA1638', 'NA1911', 'NA1344', 'NA2836']"
438,"['NA1485', 'NA2033', 'NA1440', 'NA1911', 'NA1365', 'NA2595']"
439,"['NA1733', 'NA1150', 'NA2532']"
440,"['NA2967', 'NA1877', 'NA1150', 'NA1911', 'NA1344', 'NA1855']"
441,"['NA3596', 'NA1911', 'NA1344', 'NA1940']"
442,"['NA1485', 'NA1705']"
443,"['NA1139', 'NA1825', 'NA1303', 'NA2061']"
444,"['NA1485', 'NA1877', 'NA1014', 'NA2595']"
445,"['NA1139', 'NA1877', 'NA1193', 'NA2595']"
446,"['NA3671', 'NA2816', 'NA3611', 'NA1797']"
447,"['NA3611', 'NA1940']"
448,"['NA1638', 'NA2751']"
449,"['NA3197', 'NA2218', 'NA1572', 'NA2863']"
450,"['NA3671', 'NA1825', 'NA1014', 'NA2328', 'NA3048', 'NA1855']"
451,"['NA2967', 'NA2381', 'NA2937', 'NA2836']"
452,"['NA3021', 'NA2381', 'NA3137']"
453,"['NA3528', 'NA1825', 'NA1150', 'NA1911', 'NA1344']"
454,"['NA1285', 'NA1911', 'NA1344', 'NA1855']"
455,"['NA3528', 'NA2004', 'NA1398', 'NA2751']"
456,"['NA2967', 'NA1877', 'NA1014', 'NA1705']"
457,"['NA3671', 'NA2089', 'NA1344']"
458,"['NA1248', 'NA2143', 'NA1572', 'NA2595']"
459,"['NA1100', 'NA2128', 'NA1572']"
